,Word,Pinyin,OtherPinyin,Level,First Translation,Other Translations
2120,撥,bō,,6,"to push aside with the hand, foot, a stick etc","to dial, to allocate, to set aside (money), to poke (the fire), to pluck (a string instrument), to turn round, classifier: group, batch"
4174,剝,bō,,7,to peel,"to skin, to shell, to shuck, to peel, to skin, to flay, to shuck"
890,擺,bǎi,,5,to arrange,"to exhibit, to move to and fro, a pendulum"
39,百,bǎi,,1,hundred,"numerous, all kinds of, surname Bai"
72,筆,bǐ,,1,pen,"pencil, writing brush, to write or compose, the strokes of Chinese characters, classifier for sums of money, deals, CL:支[zhi1],枝[zhi1]"
266,比,bǐ,,2,Belgium,"Belgian, (particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio, to associate with, to be near, abbr. for 比利時|比利时[Bi3 li4 shi2], euphemistic variant of 屄[bi1]"
4165,柄,bǐng,,7,handle or shaft (of an axe etc),"(of a flower, leaf or fruit) stem, sth that affords an advantage to an opponent, classifier for knives or blades"
2115,丙,bǐng,,6,third of the ten Heavenly Stems 十天干[shi2 tian1 gan1],"third in order, letter ""C"" or Roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, ancient Chinese compass point: 165°, propyl"
2128,捕,bǔ,,6,to catch,"to seize, to capture"
2129,補,bǔ,,6,to repair,"to patch, to mend, to make up for, to fill (a vacancy), to supplement"
4245,饞,chán,,7,gluttonous,"greedy, to have a craving"
4244,蟬,chán,,7,cicada,
268,長,cháng,,2,length,"long, forever, always, constantly, chief, head, elder, to grow, to develop, to increase, to enhance"
845,嚐,cháng,,4,to taste,"to experience, variant of 嘗|尝[chang2]"
2186,常識,chángshì,,6,common sense,"general knowledge, CL:門|门[men2]"
971,嘗,chángshì,,5,to taste,"to try, to experience, already, ever, once"
290,城市,chéngshì,,3,city,"town, CL:座[zuo4]"
4282,程式,chéngshì,,7,form,"pattern, formula, program"
2224,呈現,chéngxiàn,,6,to appear,"to emerge, to present (a certain appearance), to demonstrate"
4283,呈獻,chéngxiàn,,7,to present respectfully,
848,叉,chā,,4,fork,"pitchfork, prong, pick, cross, intersect, ""X"", to cross, be stuck, to diverge, to open (as legs)"
2177,插,chā,,6,old variant of 插[cha1],
2212,撐,chēng,,6,to support,"to prop up, to push or move with a pole, to maintain, to open or unfurl, to fill to bursting point, brace, stay, support"
2211,稱,chēng,,6,to fit,"balanced, suitable, to weigh, to state, to name, name, appellation, to praise, steelyard, variant of 秤[cheng4]"
